testName,testCode,mainCategory,category,sampleType,pretestPreparation,standardMRP,parameters,faqs,detailedDescription
Pulmonary Function Test,PFT051,Pulmonology,Lung Function,NA,Avoid smoking 4 hours before,1800,FEV1 || FVC || FEV1/FVC,Why test?:Assess lung capacity || Preparation?:Avoid smoking,Overview:Measures breathing || Usage:Asthma and COPD evaluation
Spirometry,SPM052,Pulmonology,Lung Function,NA,Avoid heavy meal before test,1200,FVC || FEV1 || Peak Flow,Why spirometry?:Check airflow || Duration?:15 minutes,Overview:Lung function assessment || Usage:Respiratory disorders
Bronchoscopy,BRN053,Pulmonology,Airway,NA,Fasting 6 hours required,6500,Airway Inspection || Biopsy,Why bronchoscopy?:View lungs || Sedation?:Yes,Overview:Flexible scope examination || Usage:Diagnose lung diseases
Sleep Study,SLP054,Sleep Medicine,Sleep Disorders,NA,Avoid caffeine before test,7000,Apnea Index || Oxygen Level || Sleep Stages,Why test?:Sleep apnea || Overnight?:Yes,Overview:Monitors sleep || Usage:Sleep disorder diagnosis
Audiometry,AUD055,Audiology,Hearing,NA,No preparation,900,Hearing Threshold,Why audiometry?:Check hearing || Pain?:No,Overview:Hearing assessment || Usage:Hearing loss
Tympanometry,TYM056,Audiology,Ear Health,NA,No preparation,800,Middle Ear Pressure,Why test?:Ear function || Safe?:Yes,Overview:Ear pressure test || Usage:Middle ear disorders
Vision Screening,VIS057,Ophthalmology,Eye Health,NA,Bring spectacles if used,500,Visual Acuity,Why test?:Check vision || Glasses?:Bring them,Overview:Vision examination || Usage:Eye health
Refraction Test,REF058,Ophthalmology,Eye Health,NA,No preparation,700,Eye Power,Why test?:Eye number || Pain?:No,Overview:Measures refractive error || Usage:Prescription glasses
Tonometry,TON059,Ophthalmology,Glaucoma,NA,No preparation,1000,Eye Pressure,Why test?:Glaucoma screening || Drops?:Sometimes,Overview:Eye pressure measurement || Usage:Detect glaucoma
Visual Field Test,VFT060,Ophthalmology,Eye Health,NA,No preparation,1800,Peripheral Vision,Why test?:Field of vision || Time?:20 minutes,Overview:Vision mapping || Usage:Glaucoma monitoring
Endoscopy,END061,Gastroenterology,Stomach,NA,Fasting 8 hours required,5000,Esophagus || Stomach || Duodenum,Why endoscopy?:Digestive issues || Sedation?:Yes,Overview:Upper GI examination || Usage:Ulcers and reflux
Colonoscopy,COL062,Gastroenterology,Colon,NA,Bowel preparation required,7000,Colon Inspection || Polyps,Why colonoscopy?:Colon check || Sedation?:Yes,Overview:Large intestine examination || Usage:Colon disease detection
Sigmoidoscopy,SIG063,Gastroenterology,Colon,NA,Light bowel preparation,4500,Sigmoid Colon Inspection,Why test?:Lower bowel || Full colon?:No,Overview:Lower colon examination || Usage:Rectal disorders
FibroScan,FIB064,Hepatology,Liver Assessment,NA,Fasting 3 hours required,3500,Liver Stiffness || Fat Score,Why FibroScan?:Liver fibrosis || Pain?:No,Overview:Liver elasticity scan || Usage:Fatty liver assessment
Urodynamic Study,URO065,Urology,Bladder Function,NA,Drink water before test,4500,Bladder Pressure || Flow Rate,Why test?:Urination issues || Pain?:Minimal,Overview:Bladder function study || Usage:Urinary disorders
Uroflowmetry,UFM066,Urology,Urinary Flow,Urine,Full bladder required,1200,Flow Rate || Voided Volume,Why test?:Urine flow || Preparation?:Drink water,Overview:Urine flow analysis || Usage:Prostate evaluation
Cystoscopy,CYS067,Urology,Bladder,NA,Fasting if sedation planned,6000,Bladder Inspection,Why cystoscopy?:Bladder examination || Pain?:Minimal,Overview:Scope examination || Usage:Bladder disorders
Semen Analysis,SEM068,Andrology,Fertility,Semen,3-5 days abstinence,900,Sperm Count || Motility || Morphology,Why test?:Male fertility || Abstinence?:Required,Overview:Fertility assessment || Usage:Infertility evaluation
EMG,EMG069,Neurology,Nerve Function,NA,Avoid lotions on skin,3000,Muscle Activity,Why EMG?:Muscle weakness || Pain?:Mild discomfort,Overview:Muscle electrical activity || Usage:Neuromuscular disorders
